store,sku,amount
Nashua,DM1786,8578 KSH
Nairobi,DM1786,3921 KSH
Nairobi,DM1541,2335 KSH
Naivasha,DM1759,4164 KSH
Naivasha,DM1724,4566 KSH
Nakuru,DM1210,5659 KSH
Nashua,DM1210,2131 KSH
Malindi,DM1541,7592 KSH
Mombasa,DM1230,4498 KSH
Naivasha,DM1210,5514 KSH
Malindi,DM1759,7536 KSH
Naivasha,DM1724,6267 KSH
Mombasa,DM1541,9059 KSH
Nashua,DM1724,7856 KSH
Mombasa,DM1873,7230 KSH
Mombasa,DM1294,8320 KSH
Nashua,DM1724,6537 KSH
Mombasa,DM1210,7858 KSH
Nakuru,DM1294,6475 KSH
Nakuru,DM1541,2885 KSH
Mombasa,DM1230,4262 KSH
Nashua,DM1873,7516 KSH
Malindi,DM1537,6990 KSH
Malindi,DM1873,9720 KSH
Nashua,DM1873,3794 KSH
Nairobi,DM1786,8213 KSH
Mombasa,DM1724,9402 KSH
Naivasha,DM1759,1618 KSH
Mombasa,DM1541,3238 KSH
Nairobi,DM1537,5618 KSH
Mombasa,DM1294,4637 KSH
Naivasha,DM1786,4688 KSH
Malindi,DM1210,3996 KSH
Naivasha,DM1210,6001 KSH
Naivasha,DM1541,1416 KSH
Mombasa,DM1230,2296 KSH
Nairobi,DM1759,1986 KSH
Mombasa,DM1294,1277 KSH
Naivasha,DM1541,5298 KSH
Nakuru,DM1724,2700 KSH
Naivasha,DM1541,2013 KSH
Nairobi,DM1541,1579 KSH
Nairobi,DM1541,9993 KSH
Nashua,DM1759,6970 KSH
Mombasa,DM1759,4037 KSH
Malindi,DM1786,8567 KSH
Nairobi,DM1724,8007 KSH
Nashua,DM1210,5268 KSH
Nairobi,DM1294,7884 KSH
Nashua,DM1230,2051 KSH
Mombasa,DM1724,5804 KSH
Nakuru,DM1210,8394 KSH
Nashua,DM1873,9693 KSH
Nairobi,DM1210,4282 KSH
Malindi,DM1182,3555 KSH
Mombasa,DM1537,5586 KSH
Nairobi,DM1724,6589 KSH
Mombasa,DM1182,2637 KSH
Malindi,DM1182,7162 KSH
Nairobi,DM1786,8989 KSH
Naivasha,DM1724,8893 KSH
Mombasa,DM1210,1194 KSH
Malindi,DM1541,5841 KSH
Naivasha,DM1294,3270 KSH
Nakuru,DM1724,2584 KSH
Nakuru,DM1210,9797 KSH
Naivasha,DM1230,9000 KSH
Nashua,DM1873,1658 KSH
Naivasha,DM1541,7616 KSH
Mombasa,DM1210,9509 KSH
Nashua,DM1210,3087 KSH
Malindi,DM1294,6547 KSH
Naivasha,DM1724,7767 KSH
Nashua,DM1724,2895 KSH
Mombasa,DM1182,8267 KSH
Mombasa,DM1724,1083 KSH
Mombasa,DM1873,8377 KSH
Nairobi,DM1724,2895 KSH
Nakuru,DM1724,8419 KSH
Naivasha,DM1537,4954 KSH
Malindi,DM1786,2700 KSH
Nairobi,DM1724,6140 KSH
Nakuru,DM1786,2878 KSH
Nashua,DM1230,4653 KSH
Nairobi,DM1537,4661 KSH
Nairobi,DM1541,4834 KSH
Nairobi,DM1182,7215 KSH
Mombasa,DM1537,3172 KSH
Malindi,DM1210,2021 KSH
Nakuru,DM1537,5510 KSH
Nakuru,DM1182,6249 KSH
Nakuru,DM1759,1276 KSH
Nakuru,DM1210,7431 KSH
Mombasa,DM1541,7388 KSH
Malindi,DM1210,2328 KSH
Mombasa,DM1759,8378 KSH
Mombasa,DM1786,5869 KSH
Naivasha,DM1786,7618 KSH
Mombasa,DM1759,2913 KSH
Nairobi,DM1294,8675 KSH
Nashua,DM1537,6790 KSH
Nakuru,DM1724,8657 KSH
Malindi,DM1786,2845 KSH
Mombasa,DM1537,4127 KSH
Nairobi,DM1541,8400 KSH
Mombasa,DM1541,4100 KSH
Nashua,DM1230,7959 KSH
Malindi,DM1230,6951 KSH
Nairobi,DM1210,3311 KSH
Nairobi,DM1786,7655 KSH
Malindi,DM1873,9548 KSH
Nakuru,DM1294,4784 KSH
Nakuru,DM1230,6352 KSH
Naivasha,DM1294,5562 KSH
Nashua,DM1210,2654 KSH
Nashua,DM1786,2389 KSH
Malindi,DM1541,9417 KSH
Nairobi,DM1294,3304 KSH
Mombasa,DM1541,1885 KSH
Naivasha,DM1724,3694 KSH
Nashua,DM1182,9075 KSH
Mombasa,DM1786,9769 KSH
Nairobi,DM1537,6187 KSH
Nashua,DM1873,7802 KSH
Naivasha,DM1724,5698 KSH
Nashua,DM1724,8169 KSH
Mombasa,DM1294,6172 KSH
Naivasha,DM1873,8031 KSH
Mombasa,DM1294,3871 KSH
Nashua,DM1873,1903 KSH
Mombasa,DM1230,7845 KSH
Nakuru,DM1537,7822 KSH
Nairobi,DM1873,3628 KSH
Naivasha,DM1210,1193 KSH
Nashua,DM1230,1603 KSH
Malindi,DM1873,4097 KSH
Naivasha,DM1724,9022 KSH
Mombasa,DM1759,8133 KSH
Nashua,DM1537,1288 KSH
Mombasa,DM1759,4854 KSH
Naivasha,DM1759,2440 KSH
Nashua,DM1759,3091 KSH
Nairobi,DM1541,6337 KSH
Nairobi,DM1537,4953 KSH
Nashua,DM1210,9383 KSH
Nairobi,DM1294,2863 KSH
Nashua,DM1182,3263 KSH
Naivasha,DM1541,2340 KSH
Nashua,DM1537,4941 KSH
Malindi,DM1873,8105 KSH
Nairobi,DM1230,9606 KSH
Naivasha,DM1541,9659 KSH
Malindi,DM1786,8510 KSH
Malindi,DM1210,2289 KSH
Nairobi,DM1759,7073 KSH
Mombasa,DM1537,8845 KSH
Naivasha,DM1210,1766 KSH
Nashua,DM1182,3803 KSH
Mombasa,DM1537,6529 KSH
Nashua,DM1230,6596 KSH
Mombasa,DM1294,8734 KSH
Naivasha,DM1541,4408 KSH
Mombasa,DM1182,9391 KSH
Mombasa,DM1294,8783 KSH
Mombasa,DM1294,2246 KSH
Mombasa,DM1182,3740 KSH
Nairobi,DM1873,9998 KSH
Mombasa,DM1230,6202 KSH
Nakuru,DM1182,2351 KSH
Malindi,DM1230,7051 KSH
Nashua,DM1182,4093 KSH
Nashua,DM1786,3847 KSH
Malindi,DM1759,7427 KSH
Mombasa,DM1541,2349 KSH
Nakuru,DM1786,9307 KSH
Malindi,DM1182,7993 KSH
Malindi,DM1786,2627 KSH
Naivasha,DM1230,6320 KSH
Malindi,DM1537,2969 KSH
Nairobi,DM1182,4838 KSH
Naivasha,DM1294,1515 KSH
Nairobi,DM1786,7765 KSH
Nakuru,DM1759,8587 KSH
Malindi,DM1873,6812 KSH
Malindi,DM1786,5168 KSH
Mombasa,DM1786,3421 KSH
Naivasha,DM1724,9376 KSH
Naivasha,DM1786,4456 KSH
Mombasa,DM1873,7113 KSH
Mombasa,DM1182,9921 KSH
Naivasha,DM1537,7102 KSH
Mombasa,DM1759,1183 KSH
Naivasha,DM1182,7778 KSH
Nashua,DM1759,4736 KSH
Nakuru,DM1294,9916 KSH
Naivasha,DM1537,7597 KSH
Nashua,DM1230,7970 KSH
Malindi,DM1182,2184 KSH
Nairobi,DM1537,3628 KSH
Nashua,DM1294,2176 KSH
Nairobi,DM1724,5707 KSH
Nashua,DM1294,2350 KSH
Nakuru,DM1182,3607 KSH
Nashua,DM1294,6862 KSH
Nashua,DM1294,7110 KSH
Nashua,DM1230,1068 KSH
Mombasa,DM1230,5949 KSH
Nairobi,DM1294,3827 KSH
Naivasha,DM1759,4928 KSH
Nashua,DM1541,5888 KSH
Nairobi,DM1541,9542 KSH
Nakuru,DM1541,5447 KSH
Nairobi,DM1786,6959 KSH
Naivasha,DM1786,9836 KSH
Mombasa,DM1537,4754 KSH
Naivasha,DM1759,4533 KSH
Nashua,DM1294,7887 KSH
Malindi,DM1294,3758 KSH
Naivasha,DM1759,9892 KSH
Naivasha,DM1210,5721 KSH
Mombasa,DM1873,5641 KSH
Nairobi,DM1873,9874 KSH
Nakuru,DM1230,6723 KSH
Nakuru,DM1541,8674 KSH
Nairobi,DM1873,2625 KSH
Nashua,DM1759,6713 KSH
Nashua,DM1182,6965 KSH
Mombasa,DM1541,8116 KSH
Nashua,DM1230,1967 KSH
Malindi,DM1182,5414 KSH
Malindi,DM1759,2027 KSH
Mombasa,DM1786,9822 KSH
Nairobi,DM1541,7321 KSH
Nairobi,DM1786,5681 KSH
Nakuru,DM1210,8618 KSH
Malindi,DM1230,6346 KSH
Malindi,DM1294,9840 KSH
Nairobi,DM1541,4392 KSH
Mombasa,DM1537,8148 KSH
Nairobi,DM1786,6365 KSH
Naivasha,DM1537,1508 KSH
Nairobi,DM1786,6790 KSH
Nashua,DM1541,4595 KSH
Nakuru,DM1230,9955 KSH
Mombasa,DM1230,8181 KSH
Nakuru,DM1230,1683 KSH
Naivasha,DM1873,9125 KSH
Nashua,DM1182,7953 KSH
Mombasa,DM1294,3487 KSH
Mombasa,DM1786,4239 KSH
Naivasha,DM1230,8560 KSH
Nairobi,DM1210,9969 KSH
Naivasha,DM1294,8578 KSH
Naivasha,DM1759,5424 KSH
Naivasha,DM1873,5517 KSH
Nairobi,DM1294,5864 KSH
Naivasha,DM1230,8412 KSH
Nairobi,DM1294,5527 KSH
Nashua,DM1230,2055 KSH
Mombasa,DM1786,5283 KSH
Naivasha,DM1210,6014 KSH
Nashua,DM1182,1816 KSH
Naivasha,DM1759,8806 KSH
Naivasha,DM1873,9185 KSH
Malindi,DM1537,1429 KSH
Naivasha,DM1759,7483 KSH
Nairobi,DM1724,4170 KSH
Naivasha,DM1230,9945 KSH
Nairobi,DM1210,3758 KSH
Naivasha,DM1294,6829 KSH
Nairobi,DM1230,4336 KSH
Naivasha,DM1294,6159 KSH
Naivasha,DM1873,3007 KSH
Mombasa,DM1541,1160 KSH
Nairobi,DM1541,3390 KSH
Malindi,DM1724,9451 KSH
Mombasa,DM1182,1793 KSH
Nakuru,DM1724,6841 KSH
Malindi,DM1182,5721 KSH
Nairobi,DM1537,4447 KSH
Nairobi,DM1786,7714 KSH
Mombasa,DM1182,6802 KSH
Naivasha,DM1230,3023 KSH
Nashua,DM1537,3240 KSH
Mombasa,DM1759,2552 KSH
Mombasa,DM1210,7522 KSH
Mombasa,DM1873,8932 KSH
Nairobi,DM1873,3740 KSH
Naivasha,DM1294,9929 KSH
Nairobi,DM1541,8153 KSH
Mombasa,DM1537,4583 KSH
Nairobi,DM1786,8772 KSH
Mombasa,DM1873,4234 KSH
Nashua,DM1724,1451 KSH
Nakuru,DM1724,6063 KSH
Nairobi,DM1541,2572 KSH
Mombasa,DM1541,8535 KSH
Malindi,DM1210,6021 KSH
Naivasha,DM1182,1374 KSH
Mombasa,DM1786,8485 KSH
Nashua,DM1541,7740 KSH
Nashua,DM1759,5710 KSH
Nairobi,DM1210,9430 KSH
Nairobi,DM1294,1410 KSH
Nakuru,DM1786,2490 KSH
Malindi,DM1294,5260 KSH
Mombasa,DM1230,9146 KSH
Nairobi,DM1537,5429 KSH
Naivasha,DM1294,7794 KSH
Nashua,DM1210,8901 KSH
Nairobi,DM1541,9154 KSH
Nairobi,DM1873,8685 KSH
Nairobi,DM1537,8370 KSH
Mombasa,DM1182,8744 KSH
Malindi,DM1182,7448 KSH
Mombasa,DM1537,5445 KSH
Nairobi,DM1724,9596 KSH
Nashua,DM1537,2382 KSH
Naivasha,DM1724,2147 KSH
Mombasa,DM1537,2772 KSH
Mombasa,DM1873,1702 KSH
Naivasha,DM1759,2753 KSH
Mombasa,DM1724,2244 KSH
Malindi,DM1182,9042 KSH
Mombasa,DM1759,5416 KSH
Mombasa,DM1724,7813 KSH
Malindi,DM1294,6623 KSH
Nairobi,DM1537,8484 KSH
Nairobi,DM1537,5937 KSH
Naivasha,DM1294,5074 KSH
Naivasha,DM1786,2347 KSH
Nashua,DM1230,5716 KSH
Nairobi,DM1724,9870 KSH
Nairobi,DM1724,5292 KSH
Nairobi,DM1873,8671 KSH
Mombasa,DM1724,2301 KSH
Mombasa,DM1873,6658 KSH
Naivasha,DM1724,7484 KSH
Nakuru,DM1724,2314 KSH
Nairobi,DM1537,3190 KSH
Nairobi,DM1294,1073 KSH
Mombasa,DM1786,1419 KSH
Malindi,DM1294,7548 KSH
Nashua,DM1182,2636 KSH
Mombasa,DM1294,3086 KSH
Nashua,DM1210,7477 KSH
Nakuru,DM1210,6632 KSH
Naivasha,DM1294,9973 KSH
Nairobi,DM1873,2952 KSH
Nairobi,DM1541,8500 KSH
Malindi,DM1230,2535 KSH
Mombasa,DM1873,4523 KSH
Malindi,DM1230,6537 KSH
Nashua,DM1724,3428 KSH
Nairobi,DM1541,8376 KSH
Malindi,DM1541,7979 KSH
Nashua,DM1230,7708 KSH
Nairobi,DM1230,6038 KSH
Malindi,DM1210,9207 KSH
Naivasha,DM1724,8090 KSH
Nashua,DM1182,7855 KSH
Mombasa,DM1724,5772 KSH
Mombasa,DM1724,6644 KSH
Nairobi,DM1759,4022 KSH
Nashua,DM1541,3257 KSH
Nashua,DM1182,7558 KSH
Malindi,DM1182,5752 KSH
Malindi,DM1294,9533 KSH
Mombasa,DM1786,2866 KSH
Nakuru,DM1182,2974 KSH
Mombasa,DM1873,7518 KSH
Nakuru,DM1759,1370 KSH
Nakuru,DM1724,3611 KSH
Naivasha,DM1786,6879 KSH
Nairobi,DM1724,4107 KSH
Malindi,DM1294,9636 KSH
Malindi,DM1786,3444 KSH
Nakuru,DM1786,5592 KSH
Mombasa,DM1294,6688 KSH
Nashua,DM1230,8833 KSH
Mombasa,DM1537,3585 KSH
Mombasa,DM1759,4581 KSH
Nairobi,DM1230,7634 KSH
Nakuru,DM1873,7386 KSH
Naivasha,DM1182,4316 KSH
Nairobi,DM1786,9318 KSH
Nakuru,DM1294,1150 KSH
Naivasha,DM1724,5615 KSH
Mombasa,DM1759,1774 KSH
Nairobi,DM1541,7024 KSH
Nairobi,DM1210,7944 KSH
Nairobi,DM1230,6821 KSH
Naivasha,DM1182,4116 KSH
Mombasa,DM1230,9890 KSH
Malindi,DM1724,7430 KSH
Nairobi,DM1724,8731 KSH
Nakuru,DM1230,4243 KSH
Nairobi,DM1210,9256 KSH
Mombasa,DM1724,3685 KSH
Nairobi,DM1294,2243 KSH
Mombasa,DM1182,1281 KSH
Nakuru,DM1230,2561 KSH
Malindi,DM1873,9923 KSH
Naivasha,DM1873,8446 KSH
Nakuru,DM1537,3438 KSH
Nairobi,DM1759,2538 KSH
Mombasa,DM1210,5872 KSH
Mombasa,DM1210,2382 KSH
Nakuru,DM1210,5531 KSH
Nakuru,DM1541,9427 KSH
Malindi,DM1786,4070 KSH
Nashua,DM1230,9957 KSH
Nairobi,DM1210,2063 KSH
Mombasa,DM1182,3224 KSH
Naivasha,DM1724,2841 KSH
Mombasa,DM1873,7554 KSH
Nakuru,DM1786,9844 KSH
Nairobi,DM1724,9489 KSH
Nairobi,DM1541,7346 KSH
Nairobi,DM1230,9893 KSH
Mombasa,DM1724,4916 KSH
Nairobi,DM1294,3995 KSH
Nakuru,DM1786,5618 KSH
Mombasa,DM1759,9513 KSH
Nairobi,DM1294,2999 KSH
Nashua,DM1182,7566 KSH
Malindi,DM1724,7045 KSH
Nashua,DM1210,3124 KSH
Mombasa,DM1230,4545 KSH
Nairobi,DM1541,7638 KSH
Nakuru,DM1230,8483 KSH
Nairobi,DM1786,4297 KSH
Nairobi,DM1210,2831 KSH
Mombasa,DM1759,2812 KSH
Mombasa,DM1210,6357 KSH
Mombasa,DM1182,7501 KSH
Nairobi,DM1724,9555 KSH
Nakuru,DM1759,6168 KSH
Nairobi,DM1537,8734 KSH
Naivasha,DM1230,8878 KSH
Nashua,DM1724,2581 KSH
Nairobi,DM1210,1189 KSH
Mombasa,DM1873,9024 KSH
Malindi,DM1182,7345 KSH
Nairobi,DM1786,2758 KSH
Malindi,DM1541,2708 KSH
Mombasa,DM1294,3854 KSH
Malindi,DM1873,5902 KSH
Nairobi,DM1873,7398 KSH
Nairobi,DM1541,5063 KSH
Nairobi,DM1210,9483 KSH
Nairobi,DM1724,7603 KSH
Malindi,DM1541,6407 KSH
Nakuru,DM1537,5325 KSH
Mombasa,DM1537,1080 KSH
Nairobi,DM1294,3372 KSH
Nashua,DM1786,6310 KSH
Mombasa,DM1541,5820 KSH
Mombasa,DM1182,4825 KSH
Naivasha,DM1182,9477 KSH
Nairobi,DM1873,5242 KSH
Mombasa,DM1724,6781 KSH
Mombasa,DM1724,6685 KSH
Mombasa,DM1294,9073 KSH
Naivasha,DM1294,5895 KSH
Nakuru,DM1759,4724 KSH
Nashua,DM1537,2278 KSH
Malindi,DM1210,6077 KSH
Malindi,DM1294,6078 KSH
Nashua,DM1759,4801 KSH
Nairobi,DM1759,3201 KSH
Nashua,DM1537,1733 KSH
Mombasa,DM1759,8479 KSH
Nakuru,DM1294,3824 KSH
Malindi,DM1182,1864 KSH
Mombasa,DM1537,5548 KSH
Nairobi,DM1724,4327 KSH
Mombasa,DM1182,3866 KSH
Nairobi,DM1759,2013 KSH
Naivasha,DM1210,6680 KSH
Nairobi,DM1724,6881 KSH
Nairobi,DM1210,2556 KSH
Malindi,DM1294,5987 KSH
Nairobi,DM1182,4043 KSH
Mombasa,DM1182,3981 KSH
Mombasa,DM1210,7896 KSH
Mombasa,DM1230,4833 KSH
Nairobi,DM1541,9942 KSH
Mombasa,DM1873,7281 KSH
Malindi,DM1182,3667 KSH
Malindi,DM1210,1668 KSH
Nairobi,DM1873,4886 KSH
Mombasa,DM1230,8369 KSH
Mombasa,DM1759,5986 KSH
Nashua,DM1182,9391 KSH
Nakuru,DM1294,8517 KSH
Naivasha,DM1759,6469 KSH
Mombasa,DM1210,1732 KSH
Nairobi,DM1873,9150 KSH
Malindi,DM1873,3072 KSH
Mombasa,DM1210,9914 KSH
Mombasa,DM1541,5849 KSH
Nashua,DM1182,1272 KSH
Nakuru,DM1182,1852 KSH
Malindi,DM1230,4620 KSH
Nairobi,DM1294,7733 KSH
Nairobi,DM1873,6888 KSH
Nairobi,DM1541,1447 KSH
Nakuru,DM1294,2250 KSH
Nashua,DM1724,4247 KSH
Nashua,DM1230,7255 KSH
Nakuru,DM1759,2174 KSH
Nashua,DM1294,6542 KSH
Malindi,DM1294,7891 KSH
Nairobi,DM1230,6057 KSH
Nairobi,DM1230,9667 KSH
Mombasa,DM1537,1016 KSH
Nashua,DM1294,9086 KSH
Mombasa,DM1210,2743 KSH
Nakuru,DM1294,2890 KSH
Nashua,DM1873,7890 KSH
Malindi,DM1541,4117 KSH
Nairobi,DM1230,4459 KSH
Nairobi,DM1294,2391 KSH
Naivasha,DM1786,8843 KSH
Nairobi,DM1786,7386 KSH
Mombasa,DM1210,4164 KSH
Malindi,DM1182,1705 KSH
Naivasha,DM1210,2423 KSH
Mombasa,DM1724,1585 KSH
Nairobi,DM1230,9963 KSH
Nairobi,DM1210,2342 KSH
Nakuru,DM1786,4027 KSH
Nairobi,DM1873,2769 KSH
Nairobi,DM1759,4608 KSH
Malindi,DM1294,8389 KSH
Malindi,DM1786,6704 KSH
Mombasa,DM1541,7014 KSH
Nakuru,DM1724,6933 KSH
Mombasa,DM1724,6730 KSH
Mombasa,DM1541,5273 KSH
Nairobi,DM1724,7597 KSH
Nairobi,DM1210,4936 KSH
Nashua,DM1541,3531 KSH
Nairobi,DM1786,7597 KSH
Mombasa,DM1873,4059 KSH
Nashua,DM1541,4043 KSH
Malindi,DM1537,1556 KSH
Mombasa,DM1294,9382 KSH
Nashua,DM1210,9956 KSH
Nakuru,DM1182,5467 KSH
Nashua,DM1541,5067 KSH
Naivasha,DM1724,7897 KSH
Mombasa,DM1786,3479 KSH
Nairobi,DM1230,6930 KSH
Mombasa,DM1541,4514 KSH
Nashua,DM1786,9313 KSH
Nairobi,DM1537,7148 KSH
Nakuru,DM1541,6826 KSH
Nashua,DM1294,2006 KSH
Nakuru,DM1230,4567 KSH
Nairobi,DM1294,7401 KSH
Nairobi,DM1873,2680 KSH
Nashua,DM1182,8911 KSH
Mombasa,DM1294,8250 KSH
Nashua,DM1182,9721 KSH
Malindi,DM1294,9340 KSH
Mombasa,DM1182,4278 KSH
Malindi,DM1294,2803 KSH
Nairobi,DM1724,9344 KSH
Nashua,DM1873,7392 KSH
Nashua,DM1294,6659 KSH
Malindi,DM1759,1308 KSH
Nairobi,DM1210,8503 KSH
Mombasa,DM1230,4112 KSH
Mombasa,DM1724,5721 KSH
Nashua,DM1537,9963 KSH
Naivasha,DM1724,9174 KSH
Nashua,DM1537,5671 KSH
Nairobi,DM1873,6963 KSH
Naivasha,DM1759,3068 KSH
Nairobi,DM1541,7885 KSH
Nakuru,DM1724,2895 KSH
Naivasha,DM1759,2801 KSH
Mombasa,DM1210,8507 KSH
Malindi,DM1873,9034 KSH
Nakuru,DM1724,5159 KSH
Mombasa,DM1537,2557 KSH
Nairobi,DM1230,9828 KSH
Naivasha,DM1230,7844 KSH
Nakuru,DM1230,2236 KSH
Naivasha,DM1230,8238 KSH
Nairobi,DM1230,1239 KSH
Nairobi,DM1759,3155 KSH
Nairobi,DM1182,2204 KSH
Nashua,DM1294,4825 KSH
Mombasa,DM1210,6003 KSH
Mombasa,DM1873,3379 KSH
Malindi,DM1182,2540 KSH
Nairobi,DM1182,1460 KSH
Naivasha,DM1873,5579 KSH
Naivasha,DM1759,4390 KSH
Naivasha,DM1294,3967 KSH
Nairobi,DM1786,5895 KSH
Nakuru,DM1210,5325 KSH
Nakuru,DM1537,2214 KSH
Mombasa,DM1537,7600 KSH
Malindi,DM1541,2042 KSH
Nairobi,DM1182,5190 KSH
Mombasa,DM1230,6968 KSH
Mombasa,DM1541,8613 KSH
Nakuru,DM1873,6568 KSH
Mombasa,DM1786,2146 KSH
Mombasa,DM1759,4529 KSH
Naivasha,DM1759,3606 KSH
Naivasha,DM1294,1342 KSH
Mombasa,DM1786,5689 KSH
Malindi,DM1210,6635 KSH
Nashua,DM1294,8642 KSH
Nakuru,DM1294,5259 KSH
Mombasa,DM1294,8323 KSH
Naivasha,DM1182,2219 KSH
Nairobi,DM1873,4892 KSH
Nashua,DM1537,7907 KSH
Mombasa,DM1541,1614 KSH
Mombasa,DM1541,8330 KSH
Naivasha,DM1786,9542 KSH
Nakuru,DM1759,7113 KSH
Mombasa,DM1294,7202 KSH
Nashua,DM1230,3744 KSH
Nairobi,DM1182,1883 KSH
Naivasha,DM1210,7731 KSH
Malindi,DM1210,5020 KSH
Mombasa,DM1541,7923 KSH
Nakuru,DM1541,3587 KSH
Nakuru,DM1541,1682 KSH
Mombasa,DM1759,8713 KSH
Nairobi,DM1537,7633 KSH
Nairobi,DM1786,3666 KSH
Nairobi,DM1759,4974 KSH
Nakuru,DM1786,6291 KSH
Mombasa,DM1724,2933 KSH
Malindi,DM1294,8542 KSH
Nashua,DM1786,5982 KSH
Nairobi,DM1182,3071 KSH
Nairobi,DM1230,8816 KSH
Nakuru,DM1541,5007 KSH
Malindi,DM1182,6350 KSH
Nakuru,DM1873,1986 KSH
Nairobi,DM1873,1507 KSH
Mombasa,DM1182,4164 KSH
Nakuru,DM1786,1724 KSH
Mombasa,DM1873,2610 KSH
Naivasha,DM1182,2081 KSH
Mombasa,DM1786,3437 KSH
Nashua,DM1537,2988 KSH
Nairobi,DM1294,1905 KSH
Mombasa,DM1541,1508 KSH
Nakuru,DM1786,9918 KSH
Malindi,DM1210,8535 KSH
Malindi,DM1537,7175 KSH
Nakuru,DM1541,7916 KSH
Naivasha,DM1210,9608 KSH
Nakuru,DM1182,5501 KSH
Nakuru,DM1537,9826 KSH
Malindi,DM1210,5713 KSH
Malindi,DM1724,8111 KSH
Malindi,DM1230,2119 KSH
Naivasha,DM1873,6234 KSH
Mombasa,DM1537,6797 KSH
Nashua,DM1541,5744 KSH
Malindi,DM1294,9255 KSH
Nakuru,DM1210,5281 KSH
Mombasa,DM1873,8735 KSH
Nairobi,DM1182,5988 KSH
Mombasa,DM1210,7265 KSH
Mombasa,DM1724,1267 KSH
Mombasa,DM1724,4985 KSH
Mombasa,DM1210,4140 KSH
Mombasa,DM1724,5836 KSH
Mombasa,DM1294,8819 KSH
Mombasa,DM1210,6861 KSH
Nakuru,DM1541,8486 KSH
Mombasa,DM1537,2027 KSH
Nairobi,DM1541,5886 KSH
Nairobi,DM1873,8295 KSH
Nakuru,DM1724,8059 KSH
Naivasha,DM1724,8730 KSH
Naivasha,DM1230,4041 KSH
Naivasha,DM1873,6394 KSH
Nakuru,DM1210,9659 KSH
Nashua,DM1230,1767 KSH
Mombasa,DM1210,7469 KSH
Nairobi,DM1294,1943 KSH
Nashua,DM1230,3366 KSH
Nairobi,DM1786,3852 KSH
Nakuru,DM1759,6688 KSH
Mombasa,DM1541,8084 KSH
Mombasa,DM1210,5655 KSH
Mombasa,DM1873,3970 KSH
Naivasha,DM1724,1324 KSH
Nakuru,DM1724,4602 KSH
Naivasha,DM1537,3275 KSH
Naivasha,DM1182,7152 KSH
Nashua,DM1210,7708 KSH
Nairobi,DM1724,2853 KSH
Nairobi,DM1786,5977 KSH
Naivasha,DM1537,2723 KSH
Naivasha,DM1210,3923 KSH
Nairobi,DM1724,5946 KSH
Mombasa,DM1210,2916 KSH
Mombasa,DM1210,5976 KSH
Nashua,DM1230,3104 KSH
Naivasha,DM1541,7699 KSH
Nashua,DM1294,2756 KSH
Naivasha,DM1759,4410 KSH
Nairobi,DM1541,5414 KSH
Nairobi,DM1786,6134 KSH
Nakuru,DM1786,8628 KSH
Nakuru,DM1873,5143 KSH
Naivasha,DM1210,3111 KSH
Mombasa,DM1294,9441 KSH
Nakuru,DM1537,7661 KSH
Mombasa,DM1759,9625 KSH
Mombasa,DM1759,6554 KSH
Naivasha,DM1724,7642 KSH
Nashua,DM1230,7230 KSH
Naivasha,DM1210,7037 KSH
Nairobi,DM1210,3659 KSH
Mombasa,DM1182,6324 KSH
Nakuru,DM1182,1206 KSH
Nairobi,DM1759,8187 KSH
Nashua,DM1182,5812 KSH
Mombasa,DM1759,8640 KSH
Nairobi,DM1230,4970 KSH
Nashua,DM1182,5572 KSH
Malindi,DM1724,9389 KSH
Mombasa,DM1294,6250 KSH
Nairobi,DM1759,9622 KSH
Naivasha,DM1294,5018 KSH
Nairobi,DM1230,9841 KSH
Mombasa,DM1537,7122 KSH
Malindi,DM1294,4435 KSH
Nairobi,DM1724,7248 KSH
Mombasa,DM1537,6497 KSH
Mombasa,DM1759,9012 KSH
Nakuru,DM1294,9238 KSH
Nairobi,DM1759,9239 KSH
Nashua,DM1230,2861 KSH
Naivasha,DM1537,1648 KSH
Malindi,DM1294,9639 KSH
Nashua,DM1786,2247 KSH
Nakuru,DM1182,6584 KSH
Malindi,DM1294,9465 KSH
Nashua,DM1541,3570 KSH
Nairobi,DM1230,3978 KSH
Nakuru,DM1786,8314 KSH
Nashua,DM1294,9276 KSH
Mombasa,DM1759,8705 KSH
Mombasa,DM1786,4667 KSH
Mombasa,DM1230,7294 KSH
Mombasa,DM1230,7339 KSH
Naivasha,DM1786,9272 KSH
Mombasa,DM1759,6898 KSH
Nakuru,DM1537,5443 KSH
Nashua,DM1759,1789 KSH
Mombasa,DM1873,3125 KSH
Nairobi,DM1230,7699 KSH
Nashua,DM1541,3045 KSH
Mombasa,DM1724,1995 KSH
Nairobi,DM1537,3051 KSH
Nairobi,DM1724,9821 KSH
Malindi,DM1294,4726 KSH
Mombasa,DM1786,5754 KSH
Nashua,DM1541,1206 KSH
Malindi,DM1210,7872 KSH
Nakuru,DM1294,6727 KSH
Mombasa,DM1210,2499 KSH
Nairobi,DM1230,7139 KSH
Mombasa,DM1541,3307 KSH
Nairobi,DM1759,7035 KSH
Nairobi,DM1873,8815 KSH
Malindi,DM1759,9955 KSH
Malindi,DM1724,8252 KSH
Nashua,DM1537,9781 KSH
Nashua,DM1294,3472 KSH
Malindi,DM1873,7348 KSH
Nairobi,DM1541,4796 KSH
Mombasa,DM1541,4992 KSH
